Match date,Tournament,Home team,Home team corners,Away team corners,Away team,Home team corners kicked,Home team corners average,Corners >5 home team,Away team corners concieved,Corners >5 concieved away team,Away team corners concieved average,Corners difference,Corners >5 against home team,label
2019-10-06,PrimD,Valladolid,3,4,Atletico Madrid,60,6,6,60,5,6,0,1,<5
2019-09-05,PrimD,Mallorca,8,5,Atletico Madrid,74,7,7,56,4,6,18,1,>=5
2019-09-04,PrimD,Real Sociedad,5,5,Atletico Madrid,43,4,2,52,4,5,-9,3,>=5
2019-08-05,PrimD,Leganes,9,4,Atletico Madrid,36,4,2,49,4,5,-13,0,>=5
2019-05-08,PrimD,Levante,6,4,Atletico Madrid,65,7,7,47,3,5,18,0,>=5
2019-05-04,PrimD,Espanyol,5,6,Atletico Madrid,50,5,4,51,4,5,-1,0,>=5
2019-04-06,PrimD,Barcelona,5,1,Atletico Madrid,63,6,4,48,4,5,15,3,>=5
2019-04-01,PrimD,Eibar,5,8,Atletico Madrid,75,8,6,47,4,5,28,1,>=5
2019-03-06,PrimD,Athletic Bilbao,1,7,Atletico Madrid,67,7,7,54,5,5,13,2,<5
2019-03-03,PrimD,Real Sociedad,7,4,Atletico Madrid,63,6,6,55,5,6,8,2,>=5
2019-03-01,PrimD,CD Alaves,9,2,Atletico Madrid,44,4,2,47,4,5,-3,,>=5
2019-02-06,PrimD,Rayo Vallecano,4,6,Atletico Madrid,45,5,3,45,4,5,0,1,<5
2019-02-03,PrimD,Real Betis,1,7,Atletico Madrid,56,6,6,48,4,5,8,0,<5
2019-01-09,PrimD,SD Huesca,6,5,Atletico Madrid,,,,50,4,5,,,>=5
2019-01-06,PrimD,Sevilla,4,5,Atletico Madrid,60,6,5,52,5,5,8,1,<5
2018-12-05,PrimD,Valladolid,9,3,Atletico Madrid,57,6,6,46,4,5,11,,>=5
2018-12-02,PrimD,Girona,2,9,Atletico Madrid,41,4,3,55,5,6,-14,,<5
2018-11-03,PrimD,Leganes,4,7,Atletico Madrid,60,6,6,56,5,6,4,,<5
2018-10-01,PrimD,Villarreal,8,7,Atletico Madrid,60,6,5,60,5,6,0,0,>=5
2018-09-09,PrimD,Real Madrid,8,6,Atletico Madrid,76,8,7,57,4,6,19,2,>=5
2018-09-02,PrimD,Getafe,1,5,Atletico Madrid,55,6,3,59,4,6,-4,1,<5
2018-09-01,PrimD,Celta Vigo,2,8,Atletico Madrid,56,6,4,66,5,7,-10,1,<5
2018-08-01,PrimD,Valencia,4,10,Atletico Madrid,67,7,7,64,5,6,3,2,<5
2018-05-02,PrimD,Getafe,8,2,Atletico Madrid,56,6,3,59,4,6,-3,0,>=5
2018-04-09,PrimD,Real Sociedad,6,6,Atletico Madrid,57,6,5,55,3,6,2,1,>=5
2018-04-09,PrimD,CD Alaves,3,4,Atletico Madrid,47,5,3,56,3,6,-9,,<5
2018-04-08,PrimD,Real Madrid,11,2,Atletico Madrid,80,8,8,49,2,5,31,1,>=5
2018-03-08,PrimD,Villarreal,5,4,Atletico Madrid,60,6,7,48,2,5,12,1,>=5
2018-03-04,PrimD,Barcelona,12,1,Atletico Madrid,57,6,5,38,1,4,19,2,>=5
2018-02-05,PrimD,Sevilla,5,4,Atletico Madrid,64,6,6,39,2,4,25,2,>=5
2018-02-01,PrimD,Malaga,3,3,Atletico Madrid,45,5,4,42,3,4,3,2,<5
2018-01-03,PrimD,Eibar,9,1,Atletico Madrid,55,6,4,37,2,4,18,1,>=5
2017-12-02,PrimD,Espanyol,2,3,Atletico Madrid,58,6,5,38,2,4,20,0,<5
2017-12-01,PrimD,Real Betis,3,2,Atletico Madrid,48,5,4,42,3,4,6,0,<5
2017-11-05,PrimD,Levante,2,3,Atletico Madrid,51,5,4,46,4,5,5,0,<5
2017-11-04,PrimD,D Coruna,4,4,Atletico Madrid,60,6,5,47,4,5,13,1,<5
2017-10-02,PrimD,Celta Vigo,4,4,Atletico Madrid,38,4,1,49,5,5,-11,2,<5
2017-09-09,PrimD,Valencia,4,4,Atletico Madrid,52,5,4,52,6,5,0,2,<5
2017-09-01,PrimD,Leganes,2,6,Atletico Madrid,50,5,5,54,6,5,-4,,<5
2017-09-01,PrimD,Athletic Bilbao,6,0,Atletico Madrid,69,7,6,60,6,6,9,1,>=5
2017-08-09,PrimD,Girona,6,0,Atletico Madrid,,,,61,6,6,,,>=5
2017-08-06,PrimD,Las Palmas,4,2,Atletico Madrid,47,5,5,62,6,6,-15,,<5
2017-05-04,PrimD,Real Betis,3,5,Atletico Madrid,54,5,3,61,6,6,-7,0,<5
2017-04-09,PrimD,Las Palmas,7,1,Atletico Madrid,49,5,5,56,5,6,-7,,>=5
2017-04-08,PrimD,Real Madrid,6,2,Atletico Madrid,64,6,6,57,5,6,7,0,>=5
2017-04-02,PrimD,Espanyol,5,3,Atletico Madrid,52,5,3,58,6,6,-6,0,>=5
2017-04-01,PrimD,Malaga,6,0,Atletico Madrid,75,8,7,56,5,6,19,1,>=5
2017-03-02,PrimD,D Coruna,7,2,Atletico Madrid,60,6,5,55,5,6,5,0,>=5
2017-03-01,PrimD,Granada,4,9,Atletico Madrid,48,5,4,59,6,6,-11,1,<5
2017-02-08,PrimD,Sporting Gijon,12,3,Atletico Madrid,48,5,3,53,6,5,-5,1,>=5
2017-01-08,PrimD,CD Alaves,7,2,Atletico Madrid,,,,47,5,5,,,>=5
2017-01-07,PrimD,Eibar,5,3,Atletico Madrid,58,6,5,46,5,5,12,,>=5
2017-01-02,PrimD,Athletic Bilbao,2,5,Atletico Madrid,62,6,7,47,5,5,15,1,<5
2016-12-02,PrimD,Villarreal,2,7,Atletico Madrid,59,6,4,53,6,5,6,1,<5
2016-11-07,PrimD,Osasuna,7,4,Atletico Madrid,55,6,4,53,6,5,2,3,>=5
2016-11-05,PrimD,Real Sociedad,6,6,Atletico Madrid,65,7,5,53,6,5,12,0,>=5
2016-10-03,PrimD,Sevilla,4,5,Atletico Madrid,83,8,9,51,6,5,32,2,<5
2016-10-02,PrimD,Valencia,6,5,Atletico Madrid,66,7,6,50,5,5,16,2,>=5
2016-09-01,PrimD,Barcelona,8,2,Atletico Madrid,67,7,7,45,4,5,22,1,>=5
2016-09-01,PrimD,Celta Vigo,6,4,Atletico Madrid,77,8,7,47,4,5,30,1,>=5
2016-08-07,PrimD,Leganes,1,8,Atletico Madrid,,,,50,4,5,,,<5
2016-05-08,PrimD,Levante,4,5,Atletico Madrid,40,4,2,52,5,5,-12,0,<5
2016-04-09,PrimD,Espanyol,3,5,Atletico Madrid,50,5,5,52,5,5,-2,0,<5
2016-04-01,PrimD,Athletic Bilbao,8,4,Atletico Madrid,52,5,4,48,4,5,4,1,>=5
2016-03-09,PrimD,Sporting Gijon,7,2,Atletico Madrid,46,5,3,43,3,4,3,,>=5
2016-03-06,PrimD,Valencia,6,7,Atletico Madrid,49,5,5,42,2,4,7,1,>=5
2016-02-07,PrimD,Real Madrid,2,5,Atletico Madrid,63,6,4,41,2,4,22,0,<5
2016-02-04,PrimD,Getafe,5,5,Atletico Madrid,55,6,4,37,2,4,18,0,>=5
2016-01-07,PrimD,Las Palmas,3,4,Atletico Madrid,,,,35,2,4,,,<5
2016-01-01,PrimD,Barcelona,8,6,Atletico Madrid,66,7,7,38,2,4,28,1,>=5
2016-01-01,PrimD,Celta Vigo,4,4,Atletico Madrid,59,6,3,38,2,4,21,1,<5
2015-12-05,PrimD,Granada,6,8,Atletico Madrid,51,5,4,34,1,3,17,0,>=5
2015-12-01,PrimD,Rayo Vallecano,3,8,Atletico Madrid,60,6,6,38,2,4,22,1,<5
2015-12-01,PrimD,Malaga,4,1,Atletico Madrid,67,7,9,39,2,4,28,1,<5
2015-11-02,PrimD,Real Betis,2,6,Atletico Madrid,53,5,6,40,2,4,13,0,<5
2015-10-08,PrimD,Real Sociedad,5,2,Atletico Madrid,59,6,6,41,3,4,18,1,>=5
2015-10-01,PrimD,D Coruna,1,5,Atletico Madrid,48,5,2,43,3,4,5,1,<5
2015-09-09,PrimD,Eibar,1,4,Atletico Madrid,47,5,2,49,4,5,-2,,<5
2015-09-06,PrimD,Villarreal,1,5,Atletico Madrid,61,6,5,57,5,6,4,1,<5
2015-08-01,PrimD,Sevilla,11,1,Atletico Madrid,51,5,3,47,4,5,4,1,>=5
2015-05-03,PrimD,Granada,4,0,Atletico Madrid,58,6,5,49,5,5,9,1,<5
2015-05-01,PrimD,Levante,2,6,Atletico Madrid,52,5,4,52,5,5,0,0,<5
2015-04-09,PrimD,Villarreal,7,1,Atletico Madrid,68,7,6,48,4,5,20,,>=5
2015-04-08,PrimD,D Coruna,5,6,Atletico Madrid,45,5,2,45,4,5,0,,>=5
2015-04-04,PrimD,Cordoba,3,5,Atletico Madrid,49,5,4,43,4,4,6,,<5
2015-04-01,PrimD,Malaga,6,1,Atletico Madrid,62,6,3,38,3,4,24,0,>=5
2015-03-04,PrimD,Espanyol,3,4,Atletico Madrid,61,6,6,37,3,4,24,1,<5
2015-03-01,PrimD,Sevilla,7,1,Atletico Madrid,60,6,6,34,2,3,26,0,>=5
